"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","200.123.900","2,66","+11,30%"
"AZUL4","Azul","75.722.100","1,43","+10,85%"
"B3SA3","B3","58.164.100","14,95","+4,11%"
"PETR4","Petrobras","56.165.300","32,13","+1,52%"
"COGN3","Cogna","50.776.300","2,96","-1,00%"
"ITSA4","Itaúsa","48.430.100","10,97","+1,57%"
"BBDC4","Banco Bradesco","41.967.000","15,22","+2,15%"
"IFCM3","Infracommerce","41.626.800","0,09","+0,00%"
"MGLU3","Magazine Luiza","38.301.200","9,16","+4,33%"
"CVCB3","CVC","29.035.800","2,47","+9,29%"
"BEEF3","Minerva","25.063.200","5,11","+0,79%"
"ITUB4","Itaú Unibanco","24.635.200","36,93","+1,23%"
"LREN3","Lojas Renner","23.754.800","16,85","+2,43%"
"NTCO3","Natura","22.576.900","10,00","+6,50%"
"VALE3","Vale","21.187.200","55,17","+1,64%"
"CSAN3","Cosan","20.765.100","7,97","+2,44%"
"ABEV3","Ambev","20.625.000","14,25","-0,28%"
"ASAI3","Assaí","20.416.600","9,54","-0,52%"
"BBAS3","Banco do Brasil","20.288.300","29,66","+2,03%"
"RAIZ4","Raízen","20.095.900","1,79","+0,56%"
"PCAR3","Grupo Pão de Açúcar","18.476.400","3,35","+7,72%"
"CMIG4","Cemig","17.464.400","10,23","+0,49%"
"SMFT3","Smart Fit","17.299.700","22,60","+1,80%"
"RAIL3","Rumo","17.210.000","18,14","+4,79%"
"YDUQ3","YDUQS","15.618.700","14,57","-8,48%"
"GOLL4","GOL","15.089.200","0,94","+3,30%"
"CPLE6","Copel","14.838.000","12,27","+3,11%"
"JBSS3","JBS","13.803.100","40,85","-2,48%"
"BRAV3","3R Petroleum","13.742.000","19,54","-2,35%"
"PETR3","Petrobras","13.202.400","34,30","+0,59%"
"VAMO3","Grupo Vamos","12.468.700","4,50","+5,14%"
"POMO4","Marcopolo","11.900.000","6,88","+4,56%"
"WEGE3","WEG","11.479.300","44,00","+3,12%"
"GFSA3","Gafisa","11.296.600","1,29","+5,74%"
"MRFG3","Marfrig","11.057.100","20,09","+1,36%"
"CMIN3","CSN Mineração","10.758.500","5,71","+0,71%"
"MRVE3","MRV","10.413.500","5,51","+3,77%"
"RADL3","RaiaDrogasil","10.363.200","16,20","+0,87%"
"VIVT3","Vivo","10.325.500","28,35","+4,23%"
"ANIM3","Ânima Educação","10.289.500","3,99","+0,00%"
"GGBR4","Gerdau","10.281.500","15,50","+2,31%"
